ticker,asof_date,cohort_label
YOU,2026-05-22,v2_vcp_tightness_range_factor_sp1_005
YOU,2026-05-18,v2_vcp_tightness_range_factor_sp1_005
DK,2026-05-15,v2_vcp_tightness_range_factor_sp1_005
SSRM,2026-05-15,v2_vcp_tightness_range_factor_sp1_005
WULF,2026-05-15,v2_vcp_tightness_range_factor_sp1_005
TSHA,2026-05-13,v2_vcp_tightness_range_factor_sp1_005
NAT,2026-05-12,v2_vcp_tightness_range_factor_sp1_005
RLMD,2026-05-12,v2_vcp_tightness_range_factor_sp1_005
UCTT,2026-05-12,v2_vcp_tightness_range_factor_sp1_005
RLMD,2026-05-11,v2_vcp_tightness_range_factor_sp1_005
PTEN,2026-05-08,v2_vcp_tightness_range_factor_sp1_005
RLMD,2026-05-04,v2_vcp_tightness_range_factor_sp1_005
KOD,2026-05-01,v2_vcp_tightness_range_factor_sp1_005
KOD,2026-04-30,v2_vcp_tightness_range_factor_sp1_005
RLMD,2026-04-30,v2_vcp_tightness_range_factor_sp1_005
RNG,2026-04-30,v2_vcp_tightness_range_factor_sp1_005
KOD,2026-04-29,v2_vcp_tightness_range_factor_sp1_005
RNG,2026-04-29,v2_vcp_tightness_range_factor_sp1_005
TROX,2026-04-29,v2_vcp_tightness_range_factor_sp1_005
FRO,2026-04-28,v2_vcp_tightness_range_factor_sp1_005
RNG,2026-04-28,v2_vcp_tightness_range_factor_sp1_005
YOU,2026-04-28,v2_vcp_tightness_range_factor_sp1_005
DNTH,2026-04-27,v2_vcp_tightness_range_factor_sp1_005
FRO,2026-04-27,v2_vcp_tightness_range_factor_sp1_005
DNTH,2026-04-24,v2_vcp_tightness_range_factor_sp1_005
RLMD,2026-04-24,v2_vcp_tightness_range_factor_sp1_005
DNTH,2026-04-23,v2_vcp_tightness_range_factor_sp1_005
RLMD,2026-04-23,v2_vcp_tightness_range_factor_sp1_005
OII,2026-04-21,v2_vcp_tightness_range_factor_sp1_005
