ticker,date,entry_target,initial_stop,next_earnings_date,absent_earnings_data
VRT,2024-05-30,109.27100372314453,87.36000061035156,2024-07-24,0
FIX,2024-08-16,341.1700134277344,272.92999267578125,2024-10-24,0
INSM,2024-08-29,80.52999877929688,67.22000122070312,2024-10-31,0
INSM,2024-08-30,80.52999877929688,67.22000122070312,2024-10-31,0
STX,2025-12-24,308.92999267578125,250.52999877929688,2026-01-27,0
FSLR,2025-12-26,285.989990234375,249.0,2026-02-24,0
COHR,2025-12-30,200.19000244140625,158.2100067138672,2026-02-04,0
COHR,2025-12-31,200.19000244140625,158.2100067138672,2026-02-04,0
FSLR,2025-12-31,285.989990234375,249.0,2026-02-24,0
LITE,2025-12-31,401.6000061035156,288.5,2026-02-03,0
