outcome_id,ticker,signal_date,entry_target,initial_stop,next_earnings_date,absent_earnings_data,triggered,trigger_date,entry_price,exit_date,exit_price,r_multiple,gap_through,gap_magnitude_r,time_capped
0,VRT,2024-05-30,109.27100372314453,87.36000061035156,2024-07-24,0,0,,,,,,0,,0
1,FIX,2024-08-16,341.1700134277344,272.92999267578125,2024-10-24,0,1,2024-08-21,341.1700134277344,2024-09-05,307.260009765625,-0.4969225285755621,0,,1
2,INSM,2024-08-29,80.52999877929688,67.22000122070312,2024-10-31,0,0,,,,,,0,,0
3,INSM,2024-08-30,80.52999877929688,67.22000122070312,2024-10-31,0,0,,,,,,0,,0
4,STX,2025-12-24,308.92999267578125,250.52999877929688,2026-01-27,0,1,2026-01-06,308.92999267578125,2026-01-21,344.2200012207031,0.6042810313897362,0,,1
5,FSLR,2025-12-26,285.989990234375,249.0,2026-02-24,0,0,,,,,,0,,0
6,COHR,2025-12-30,200.19000244140625,158.2100067138672,2026-02-04,0,0,,,,,,0,,0
7,COHR,2025-12-31,200.19000244140625,158.2100067138672,2026-02-04,0,1,2026-01-15,200.19000244140625,2026-01-30,212.17999267578125,0.2856119927260858,0,,1
8,FSLR,2025-12-31,285.989990234375,249.0,2026-02-24,0,0,,,,,,0,,0
9,LITE,2025-12-31,401.6000061035156,288.5,2026-02-03,0,1,2026-01-07,401.6000061035156,2026-01-22,354.489990234375,-0.4165341585041369,0,,1
10,KLAC,2026-04-07,1582.449951171875,1374.4300537109375,2026-04-29,0,1,2026-04-08,1582.449951171875,2026-04-22,1812.06005859375,1.1037891577895416,0,,1
